title,handle,sku,available,old price,new price
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Apricot / XS - 40cm / 16inch,True,90.00,36.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Apricot / S - 50cm / 20inch,True,110.00,44.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Apricot / M - 60cm / 24inch,True,122.50,49.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Apricot / L - 70cm / 28inch,True,147.50,59.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Apricot / XL - 80cm / 31inch,True,172.50,69.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Apricot / XXL - 100cm / 39inch,True,222.50,89.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Dark Grey (Almost sold out) / XS - 40cm / 16inch,True,90.00,36.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Dark Grey (Almost sold out) / S - 50cm / 20inch,True,110.00,44.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Dark Grey (Almost sold out) / M - 60cm / 24inch,True,122.50,49.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Dark Grey (Almost sold out) / L - 70cm / 28inch,True,147.50,59.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Dark Grey (Almost sold out) / XL - 80cm / 31inch,True,172.50,69.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Dark Grey (Almost sold out) / XXL - 100cm / 39inch,True,222.50,89.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Light Grey (Almost sold out) / XS - 40cm / 16inch,True,90.00,36.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Light Grey (Almost sold out) / S - 50cm / 20inch,True,110.00,44.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Light Grey (Almost sold out) / M - 60cm / 24inch,True,122.50,49.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Light Grey (Almost sold out) / L - 70cm / 28inch,True,147.50,59.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Light Grey (Almost sold out) / XL - 80cm / 31inch,True,172.50,69.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Light Grey (Almost sold out) / XXL - 100cm / 39inch,True,222.50,89.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Pearl White / XS - 40cm / 16inch,True,90.00,36.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Pearl White / S - 50cm / 20inch,True,110.00,44.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Pearl White / M - 60cm / 24inch,True,122.50,49.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Pearl White / L - 70cm / 28inch,True,147.50,59.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Pearl White / XL - 80cm / 31inch,True,172.50,69.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Pearl White / XXL - 100cm / 39inch,True,222.50,89.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Taupe Brown / XS - 40cm / 16inch,True,90.00,36.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Taupe Brown / S - 50cm / 20inch,True,110.00,44.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Taupe Brown / M - 60cm / 24inch,True,122.50,49.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Taupe Brown / L - 70cm / 28inch,True,147.50,59.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Taupe Brown / XL - 80cm / 31inch,True,172.50,69.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Taupe Brown / XXL - 100cm / 39inch,True,222.50,89.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Wine Red / XS - 40cm / 16inch,True,90.00,36.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Wine Red / S - 50cm / 20inch,True,110.00,44.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Wine Red / M - 60cm / 24inch,True,122.50,49.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Wine Red / L - 70cm / 28inch,True,147.50,59.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Wine Red / XL - 80cm / 31inch,True,172.50,69.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Cat Bed,catbed,Wine Red / XXL - 100cm / 39inch,True,222.50,89.00
MrFluffyFriend™ - Orthopaedic Pillow,orthopaedic-pillow,Gradient Grey (Almost sold out) / M,True,75.00,30.00
MrFluffyFriend™ - Orthopaedic Pillow,orthopaedic-pillow,Gradient Grey (Almost sold out) / L,True,112.50,45.00
MrFluffyFriend™ - Orthopaedic Pillow,orthopaedic-pillow,Gradient Grey (Almost sold out) / XL,True,175.00,70.00
MrFluffyFriend™ - Orthopaedic Pillow,orthopaedic-pillow,Gradient Grey (Almost sold out) / XXL,True,225.00,90.00
MrFluffyFriend™ - Orthopaedic Pillow,orthopaedic-pillow,Dark Grey (Almost sold out) / M,True,75.00,30.00
MrFluffyFriend™ - Orthopaedic Pillow,orthopaedic-pillow,Dark Grey (Almost sold out) / L,True,112.50,45.00
MrFluffyFriend™ - Orthopaedic Pillow,orthopaedic-pillow,Dark Grey (Almost sold out) / XL,True,175.00,70.00
MrFluffyFriend™ - Orthopaedic Pillow,orthopaedic-pillow,Dark Grey (Almost sold out) / XXL,True,225.00,90.00
MrFluffyFriend™ - Orthopaedic Pillow,orthopaedic-pillow,Gradient Brown / M,True,75.00,30.00
MrFluffyFriend™ - Orthopaedic Pillow,orthopaedic-pillow,Gradient Brown / L,True,112.50,45.00
MrFluffyFriend™ - Orthopaedic Pillow,orthopaedic-pillow,Gradient Brown / XL,True,175.00,70.00
MrFluffyFriend™ - Orthopaedic Pillow,orthopaedic-pillow,Gradient Brown / XXL,True,225.00,90.00
MrFluffyFriend™ - Orthopaedic Pillow,orthopaedic-pillow,Pretty Pink / M,True,75.00,30.00
MrFluffyFriend™ - Orthopaedic Pillow,orthopaedic-pillow,Pretty Pink / L,True,112.50,45.00
MrFluffyFriend™ - Orthopaedic Pillow,orthopaedic-pillow,Pretty Pink / XL,True,175.00,70.00
MrFluffyFriend™ - Orthopaedic Pillow,orthopaedic-pillow,Pretty Pink / XXL,True,225.00,90.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Light Grey (Almost sold out) / S - 22x14 inch / 56x36 cm,True,77.50,31.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Light Grey (Almost sold out) / M - 31x21 inch / 78x54 cm,True,89.00,36.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Light Grey (Almost sold out) / L - 39x30 inch / 100x75 cm,True,102.00,41.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Light Grey (Almost sold out) / XL - 50x39 inch / 127 x 100 cm,True,125.00,50.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Dark Grey (Almost sold out) / S - 22x14 inch / 56x36 cm,True,77.50,31.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Dark Grey (Almost sold out) / M - 31x21 inch / 78x54 cm,True,89.00,36.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Dark Grey (Almost sold out) / L - 39x30 inch / 100x75 cm,True,102.00,41.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Dark Grey (Almost sold out) / XL - 50x39 inch / 127 x 100 cm,True,125.00,50.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Deep Brown / S - 22x14 inch / 56x36 cm,True,77.50,31.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Deep Brown / M - 31x21 inch / 78x54 cm,True,89.00,36.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Deep Brown / L - 39x30 inch / 100x75 cm,True,102.00,41.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Deep Brown / XL - 50x39 inch / 127 x 100 cm,True,125.00,50.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Navy Blue / S - 22x14 inch / 56x36 cm,True,77.50,31.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Navy Blue / M - 31x21 inch / 78x54 cm,True,89.00,36.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Navy Blue / L - 39x30 inch / 100x75 cm,True,102.00,41.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Navy Blue / XL - 50x39 inch / 127 x 100 cm,True,125.00,50.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Pearl White (Almost sold out) / S - 22x14 inch / 56x36 cm,True,77.50,31.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Pearl White (Almost sold out) / M - 31x21 inch / 78x54 cm,True,89.00,36.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Pearl White (Almost sold out) / L - 39x30 inch / 100x75 cm,True,102.00,41.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Pearl White (Almost sold out) / XL - 50x39 inch / 127 x 100 cm,True,125.00,50.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Pretty Pink / S - 22x14 inch / 56x36 cm,True,77.50,31.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Pretty Pink / M - 31x21 inch / 78x54 cm,True,89.00,36.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Pretty Pink / L - 39x30 inch / 100x75 cm,True,102.00,41.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Pretty Pink / XL - 50x39 inch / 127 x 100 cm,True,125.00,50.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Wine Red / S - 22x14 inch / 56x36 cm,True,77.50,31.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Wine Red / M - 31x21 inch / 78x54 cm,True,89.00,36.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Wine Red / L - 39x30 inch / 100x75 cm,True,102.00,41.00
MrFluffyFriend™ - Anxiety Relieving Fluffy Pet Blanket,fluffypetblanket,Wine Red / XL - 50x39 inch / 127 x 100 cm,True,125.00,50.00
MrFluffyFriend™ - Fluffy Couch Cover for Dogs and Cats,couchcover,"Light Grey (almost sold out) / S - 45lbs / 20kg - (39.4"" x 33.5"" x 4.7"")",True,172.50,69.00
MrFluffyFriend™ - Fluffy Couch Cover for Dogs and Cats,couchcover,"Light Grey (almost sold out) / M - 60lbs / 27kg - (45.3"" x 37.4"" x 5.9"")",True,197.50,79.00
MrFluffyFriend™ - Fluffy Couch Cover for Dogs and Cats,couchcover,"Light Grey (almost sold out) / L - 100lbs / 45kg - (51.2"" x 41.3"" x 5.9"")",True,222.50,89.00
MrFluffyFriend™ - Fluffy Couch Cover for Dogs and Cats,couchcover,"Dark Grey / S - 45lbs / 20kg - (39.4"" x 33.5"" x 4.7"")",True,172.50,69.00
MrFluffyFriend™ - Fluffy Couch Cover for Dogs and Cats,couchcover,"Dark Grey / M - 60lbs / 27kg - (45.3"" x 37.4"" x 5.9"")",True,197.50,79.00
MrFluffyFriend™ - Fluffy Couch Cover for Dogs and Cats,couchcover,"Dark Grey / L - 100lbs / 45kg - (51.2"" x 41.3"" x 5.9"")",True,222.50,89.00
MrFluffyFriend™ - Fluffy Couch Cover for Dogs and Cats,couchcover,"Pink / S - 45lbs / 20kg - (39.4"" x 33.5"" x 4.7"")",True,172.50,69.00
MrFluffyFriend™ - Fluffy Couch Cover for Dogs and Cats,couchcover,"Pink / M - 60lbs / 27kg - (45.3"" x 37.4"" x 5.9"")",True,197.50,79.00
MrFluffyFriend™ - Fluffy Couch Cover for Dogs and Cats,couchcover,"Pink / L - 100lbs / 45kg - (51.2"" x 41.3"" x 5.9"")",True,222.50,89.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Dog Bed,dogbed,Apricot / XS - 40cm / 16inch,True,90.00,36.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Dog Bed,dogbed,Apricot / S - 50cm / 20inch,True,110.00,44.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Dog Bed,dogbed,Apricot / M - 60cm / 24inch,True,122.50,49.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Dog Bed,dogbed,Apricot / L - 70cm / 28inch,True,147.50,59.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Dog Bed,dogbed,Apricot / XL - 80cm / 31inch,True,172.50,69.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Dog Bed,dogbed,Apricot / XXL - 100cm / 39inch,True,222.50,89.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Dog Bed,dogbed,Dark Grey (Almost sold out) / XS - 40cm / 16inch,True,90.00,36.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Dog Bed,dogbed,Dark Grey (Almost sold out) / S - 50cm / 20inch,True,110.00,44.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Dog Bed,dogbed,Dark Grey (Almost sold out) / M - 60cm / 24inch,True,122.50,49.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Dog Bed,dogbed,Dark Grey (Almost sold out) / L - 70cm / 28inch,True,147.50,59.00
MrFluffyFriend™ - World's #1 Anxiety Relieving Dog Bed,dogbed,Dark Grey (Almost sold out) / XL - 80cm / 31inch,True,172.50,69.00
